group_id,experiment_id,question_id,stage_2_i,s1_mean_value,consensus_value,raters_fermi_mean,raters_number_mean,features_fermi_whitelist,features_number_whitelist,features_ff_mean,features_ff_std,features_ff_min,features_ff_25%,features_ff_50%,features_ff_75%,features_ff_max,features_ff_percentile_90
591,4,1,4,215.25,80,,,0.25,0.25,0.11192578,0.107404156,-0.061141943,0.047577562,0.087331753,0.146490189,0.999999932,0.231713434
592,3,3,2,253,400,,,0.071428571,0.357142857,0.103309613,0.090098557,-0.079856833,0.044465039,0.089536654,0.145829323,0.546998243,0.202890177
592,3,5,3,8.75,8,,,0.111111111,0.222222222,0.104933396,0.094038504,-0.162073676,0.043747056,0.10670619,0.156611711,0.532097174,0.215226442
592,3,8,4,44,50,,,0.107142857,0.142857143,0.099977112,0.119477268,-0.172019889,0.040604961,0.091794248,0.158376133,0.808645053,0.230462054
593,4,1,1,21.25,12,,,0.208333333,0.208333333,0.107953004,0.104877142,-0.083428134,0.048886279,0.087185686,0.144243849,1.000000031,0.223767122
593,4,4,2,18750,7000,,,0.25,0.25,0.101778772,0.106771246,-0.091857098,0.025856773,0.086990054,0.16215411,1.000000004,
593,4,8,3,33,50,,,0.125,0.5,0.10489668,0.13919732,-0.24577397,0.027300653,0.094549445,0.164633054,0.999999996,0.26076263
593,4,7,4,187.5,250,,,0.235294118,0.588235294,0.122065686,0.137087326,-0.091210626,0.038800916,0.095715641,0.173208232,0.655281855,0.299431954
604,3,8,1,22.66666667,50,,,0,0.5,0.0726693,0.098480649,-0.210275414,0.023441637,0.064061791,0.125602463,0.478128661,0.196073554
604,3,3,3,266.6666667,300,,,0,0.130434783,0.127968903,0.116460959,-0.040692629,0.045809762,0.092999276,0.192397889,0.546998243,0.270100697
604,3,2,4,3538.333333,300,,,0.043478261,0.304347826,0.109578564,0.11856366,-0.057369819,0.039908767,0.087631479,0.147528689,0.999999983,0.223323283
605,4,5,2,17.5,15,,,0,0.166666667,0.111081891,0.11447729,-0.162073676,0.039691564,0.102869501,0.163978572,0.999999985,0.231835496
605,4,3,3,11966766.67,500,,,0.078947368,0.052631579,0.111514706,0.117449588,-0.116654463,0.040036966,0.08851005,0.149748179,1.000000057,0.220183167
605,4,4,4,6666.666667,11000,,,0.094339623,0.037735849,0.095857395,0.098283331,-0.112617068,0.027088276,0.076992227,0.157866514,0.788536819,
606,3,3,1,30000220,300,,,0.071428571,0.142857143,0.113129616,0.106164252,-0.132761704,0.048032801,0.093530871,0.156866967,0.546998243,0.229806142
606,3,7,2,221.5,200,,,0.263157895,0.421052632,0.125690981,0.134531238,-0.20374694,0.047371211,0.102328237,0.173153183,0.81865854,0.283593292
606,3,5,4,11.25,10,,,0.052631579,0.131578947,0.110157677,0.11298456,-0.189711246,0.042317608,0.107486299,0.161097333,0.99999997,0.23170192
607,3,8,1,40,40,,,0.157894737,0.368421053,0.127776585,0.142415825,-0.175182507,0.04261296,0.115486634,0.194408314,1.000000124,0.278136137
607,3,5,2,18.25,18,,,0,0.277777778,0.108724895,0.099724967,-0.179449731,0.042495716,0.111315222,0.165007998,0.495743199,0.23170192
608,4,4,1,2524,10000000,,,0.166666667,0,0.1142789,0.109048588,-0.170109077,0.039691564,0.096817212,0.179746228,1.000000004,
608,4,2,2,3149.25,400,,,0.119047619,0.119047619,0.153862149,0.146670759,-0.177503812,0.070443647,0.121536514,0.202666078,1.000000035,0.309763706
608,4,7,3,111.5,383,,,0.228571429,0.028571429,0.121878995,0.126947054,-0.155536115,0.038800916,0.104481046,0.181431458,0.81865854,0.279380823
611,4,4,1,6265,10000,,,0.305555556,0.111111111,0.108413016,0.128789241,-0.179449731,0.035264407,0.087628399,0.162117591,1.000000004,
611,4,3,2,2.5E+14,600,,,0.193548387,0.258064516,0.122902726,0.131763937,-0.108481673,0.040960489,0.094640039,0.163174561,1.000000057,0.243832067
611,4,5,3,18.75,32,,,0.117647059,0.147058824,0.11976166,0.124737638,-0.179449731,0.0476457,0.113062483,0.175847647,1.000000053,0.243223555
611,4,7,4,71.75,120,,,0.314285714,0.371428571,0.157728041,0.172218421,-0.20374694,0.05410072,0.117694502,0.199268983,1.000000007,0.373472966
612,3,6,1,11.5,12,,,0.157894737,0.157894737,0.132715877,0.109773032,-0.070623145,0.076026329,0.122010227,0.172199938,1.000000008,0.245060405
612,3,7,2,175.75,190,,,0.214285714,0.214285714,0.125442808,0.118870742,-0.066661953,0.048733258,0.102049071,0.179868919,0.511089381,0.293834682
612,3,8,3,22.25,25,,,0.083333333,0.166666667,0.099185337,0.107531581,-0.197490019,0.040289338,0.092792684,0.154970445,0.568738946,0.224161713
